50
{"2273 2644",
"4610 3999",
"304 9521",
"6068 8240",
"9658 2735",
"3610 3613",
"3107 788",
"6199 3195",
"1564 122",
"1604 6694",
"823 6516",
"3910 313",
"8923 8182",
"7456 619",
"1594 6517",
"7944 8748",
"6753 4557",
"4174 5008",
"2304 5874",
"1306 9595",
"170 2264",
"9573 110",
"2687 5111",
"2556 7569",
"4280 5545",
"4192 6690",
"2691 2150",
"4641 1692",
"7936 1315",
"140 2604",
"3083 1750",
"1618 5168",
"1196 2125",
"1051 3649",
"4843 1807",
"3531 4258",
"7271 1346",
"2516 8329",
"3048 9295",
"1772 4654",
"9875 4324",
"5761 9665",
"2767 9224",
"5546 1937",
"8902 2372",
"1807 1546",
"2206 3232",
"2652 7215",
"425 9804",
"5042 873"}
